"_time",User,"Page_Count","anonymized_Printer"
"2016-09-06T13:36:28.000-0700",alice,8,"anon_Printer_9"
"2016-09-06T13:50:01.000-0700",alice,2,"anon_Printer_9"
"2016-09-06T13:50:01.000-0700",alice,2,"anon_Printer_9"
"2016-09-06T13:50:20.000-0700",alice,1,"anon_Printer_9"
"2016-09-06T13:50:33.000-0700",alice,1,"anon_Printer_9"
"2016-09-06T13:53:58.000-0700",alice,1,"anon_Printer_9"
"2016-09-06T13:54:35.000-0700",alice,1,"anon_Printer_9"
"2016-09-06T13:55:28.000-0700",alice,1,"anon_Printer_9"
"2016-09-06T13:56:10.000-0700",alice,1,"anon_Printer_9"
"2016-09-06T13:57:41.000-0700",alice,2,"anon_Printer_9"
"2016-09-06T13:57:41.000-0700",alice,2,"anon_Printer_9"
"2016-09-06T14:26:00.000-0700",alice,1,"anon_Printer_9"
"2016-09-06T14:26:24.000-0700",alice,1,"anon_Printer_9"
"2016-09-06T14:26:54.000-0700",alice,13,"anon_Printer_9"
"2016-09-06T14:26:54.000-0700",alice,12,"anon_Printer_9"
"2016-09-06T14:29:08.000-0700",alice,12,"anon_Printer_9"
"2016-09-06T14:29:08.000-0700",alice,13,"anon_Printer_9"
"2016-09-06T15:03:07.000-0700",chuck,2,"anon_Printer_9"
"2016-09-06T15:50:28.000-0700",alice,3,"anon_Printer_9"
"2016-09-06T15:50:28.000-0700",alice,2,"anon_Printer_9"
"2016-09-06T15:50:48.000-0700",alice,6,"anon_Printer_9"
"2016-09-06T15:50:48.000-0700",alice,7,"anon_Printer_9"
"2016-09-06T15:52:14.000-0700",alice,2,"anon_Printer_9"
"2016-09-06T15:52:14.000-0700",alice,2,"anon_Printer_9"
"2016-09-07T11:31:50.000-0700",chuck,5,"anon_Printer_9"
"2016-09-07T11:43:40.000-0700",chuck,2,"anon_Printer_9"
"2016-09-08T09:59:59.000-0700",alice,18,"anon_Printer_9"
"2016-09-08T09:59:59.000-0700",alice,18,"anon_Printer_9"
"2016-09-08T10:20:44.000-0700",alice,52,"anon_Printer_9"
"2016-09-08T10:20:44.000-0700",alice,53,"anon_Printer_9"
"2016-09-08T10:29:41.000-0700",alice,5,"anon_Printer_9"
"2016-09-08T10:29:41.000-0700",alice,4,"anon_Printer_9"
"2016-09-08T11:24:01.000-0700",chuck,4,"anon_Printer_9"
"2016-09-08T12:08:57.000-0700",alice,10,"anon_Printer_9"
"2016-09-08T12:08:57.000-0700",alice,11,"anon_Printer_9"
"2016-09-08T12:19:46.000-0700",alice,11,"anon_Printer_9"
"2016-09-08T12:19:46.000-0700",alice,10,"anon_Printer_9"
"2016-09-08T12:37:37.000-0700",alice,14,"anon_Printer_9"
"2016-09-08T12:37:37.000-0700",alice,14,"anon_Printer_9"
"2016-09-08T13:58:25.000-0700",alice,1,"anon_Printer_9"
"2016-09-08T14:11:51.000-0700",chuck,2,"anon_Printer_9"
"2016-09-08T15:27:45.000-0700",chuck,3,"anon_Printer_9"
"2016-09-08T15:35:00.000-0700",chuck,2,"anon_Printer_9"
"2016-09-09T15:34:17.000-0700",alice,1,"anon_Printer_9"
"2016-09-09T15:34:51.000-0700",alice,6,"anon_Printer_9"
"2016-09-09T15:34:51.000-0700",alice,6,"anon_Printer_9"
"2016-09-09T15:39:25.000-0700",chuck,1,"anon_Printer_9"
"2016-09-09T15:58:57.000-0700",chuck,1,"anon_Printer_9"
"2016-09-09T15:59:15.000-0700",chuck,1,"anon_Printer_9"
"2016-09-12T09:49:44.000-0700",alice,3,"anon_Printer_9"
"2016-09-12T09:49:44.000-0700",alice,2,"anon_Printer_9"
"2016-09-12T09:51:45.000-0700",alice,1,"anon_Printer_9"
"2016-09-12T09:52:40.000-0700",alice,2,"anon_Printer_9"
"2016-09-12T09:52:40.000-0700",alice,2,"anon_Printer_9"
"2016-09-12T09:53:29.000-0700",alice,1,"anon_Printer_9"
"2016-09-12T09:54:35.000-0700",alice,8,"anon_Printer_9"
"2016-09-12T09:54:35.000-0700",alice,8,"anon_Printer_9"
"2016-09-12T09:54:43.000-0700",alice,8,"anon_Printer_9"
"2016-09-12T09:54:43.000-0700",alice,8,"anon_Printer_9"
"2016-09-12T09:54:54.000-0700",alice,8,"anon_Printer_9"
"2016-09-12T09:54:54.000-0700",alice,8,"anon_Printer_9"
"2016-09-12T09:55:58.000-0700",alice,4,"anon_Printer_9"
"2016-09-12T09:55:58.000-0700",alice,5,"anon_Printer_9"
"2016-09-12T09:56:23.000-0700",alice,2,"anon_Printer_9"
"2016-09-12T09:56:23.000-0700",alice,2,"anon_Printer_9"
"2016-09-12T10:00:36.000-0700",alice,2,"anon_Printer_9"
"2016-09-12T10:00:36.000-0700",alice,2,"anon_Printer_9"
"2016-09-12T10:01:29.000-0700",alice,1,"anon_Printer_9"
"2016-09-12T10:04:29.000-0700",alice,4,"anon_Printer_9"
"2016-09-12T10:04:29.000-0700",alice,4,"anon_Printer_9"
"2016-09-12T15:28:23.000-0700",alice,1,"anon_Printer_9"
"2016-09-13T09:32:20.000-0700",alice,2,"anon_Printer_9"
"2016-09-13T09:32:20.000-0700",alice,2,"anon_Printer_9"
"2016-09-13T14:04:16.000-0700",alice,2,"anon_Printer_9"
"2016-09-13T14:04:16.000-0700",alice,2,"anon_Printer_9"
"2016-09-13T14:19:33.000-0700",chuck,1,"anon_Printer_9"
"2016-09-13T14:51:26.000-0700",alice,2,"anon_Printer_9"
"2016-09-13T14:51:26.000-0700",alice,2,"anon_Printer_9"
"2016-09-13T14:51:40.000-0700",alice,1,"anon_Printer_9"
"2016-09-13T15:30:52.000-0700",chuck,1,"anon_Printer_9"
"2016-09-13T15:31:16.000-0700",chuck,2,"anon_Printer_9"
"2016-09-13T15:33:53.000-0700",chuck,2,"anon_Printer_9"
"2016-09-13T15:34:02.000-0700",chuck,1,"anon_Printer_9"
"2016-09-13T16:04:32.000-0700",chuck,1,"anon_Printer_9"
"2016-09-13T16:04:47.000-0700",chuck,2,"anon_Printer_9"
"2016-09-13T16:05:39.000-0700",alice,7,"anon_Printer_9"
"2016-09-13T16:05:39.000-0700",alice,6,"anon_Printer_9"
"2016-09-13T16:08:40.000-0700",alice,1,"anon_Printer_9"
"2016-09-13T16:15:23.000-0700",chuck,5,"anon_Printer_9"
"2016-09-13T16:15:38.000-0700",chuck,6,"anon_Printer_9"
"2016-09-13T16:44:56.000-0700",chuck,1,"anon_Printer_9"
"2016-09-13T16:54:01.000-0700",chuck,8,"anon_Printer_6"
"2016-09-13T16:54:01.000-0700",chuck,8,"anon_Printer_6"
"2016-09-14T11:25:28.000-0700",alice,45,"anon_Printer_9"
"2016-09-14T11:25:28.000-0700",alice,44,"anon_Printer_9"
"2016-09-14T11:55:48.000-0700",chuck,1,"anon_Printer_9"
"2016-09-14T12:15:36.000-0700",chuck,1,"anon_Printer_9"
"2016-09-14T13:45:47.000-0700",alice,1,"anon_Printer_9"
"2016-09-14T15:41:20.000-0700",alice,5,"anon_Printer_9"
"2016-09-14T15:41:20.000-0700",alice,4,"anon_Printer_9"
"2016-09-15T10:42:39.000-0700",chuck,5,"anon_Printer_9"
"2016-09-15T11:32:29.000-0700",chuck,2,"anon_Printer_9"
"2016-09-15T14:15:53.000-0700",chuck,13,"anon_Printer_9"
"2016-09-15T14:16:06.000-0700",chuck,9,"anon_Printer_9"
"2016-09-15T14:45:03.000-0700",alice,3,"anon_Printer_9"
"2016-09-15T14:45:03.000-0700",alice,2,"anon_Printer_9"
"2016-09-15T14:45:25.000-0700",alice,4,"anon_Printer_9"
"2016-09-15T14:45:25.000-0700",alice,4,"anon_Printer_9"
"2016-09-15T14:47:30.000-0700",alice,4,"anon_Printer_9"
"2016-09-15T14:47:30.000-0700",alice,4,"anon_Printer_9"
"2016-09-15T14:49:52.000-0700",alice,16,"anon_Printer_9"
"2016-09-15T14:49:52.000-0700",alice,17,"anon_Printer_9"
"2016-09-16T09:57:06.000-0700",alice,2,"anon_Printer_9"
"2016-09-16T09:57:06.000-0700",alice,3,"anon_Printer_9"
"2016-09-16T14:31:48.000-0700",alice,2,"anon_Printer_9"
"2016-09-16T14:31:48.000-0700",alice,2,"anon_Printer_9"
"2016-09-16T14:55:33.000-0700",alice,2,"anon_Printer_9"
"2016-09-16T14:55:33.000-0700",alice,2,"anon_Printer_9"
"2016-09-16T16:12:30.000-0700",alice,1,"anon_Printer_9"
"2016-09-19T07:28:15.000-0700",chuck,15,"anon_Printer_7"
"2016-09-19T07:33:33.000-0700",chuck,10,"anon_Printer_7"
"2016-09-19T07:41:16.000-0700",chuck,8,"anon_Printer_7"
"2016-09-19T07:53:16.000-0700",chuck,2,"anon_Printer_4"
"2016-09-19T07:53:16.000-0700",chuck,1,"anon_Printer_4"
"2016-09-19T07:53:16.000-0700",chuck,1,"anon_Printer_4"
"2016-09-19T07:53:17.000-0700",chuck,6,"anon_Printer_4"
"2016-09-19T07:53:17.000-0700",chuck,5,"anon_Printer_4"
"2016-09-19T07:53:17.000-0700",chuck,1,"anon_Printer_4"
"2016-09-19T07:53:19.000-0700",chuck,2,"anon_Printer_4"
"2016-09-19T07:53:19.000-0700",chuck,2,"anon_Printer_4"
"2016-09-19T08:00:33.000-0700",chuck,15,"anon_Printer_7"
"2016-09-19T08:05:24.000-0700",chuck,3,"anon_Printer_1"
"2016-09-19T08:05:24.000-0700",chuck,2,"anon_Printer_1"
"2016-09-19T08:05:24.000-0700",chuck,1,"anon_Printer_1"
"2016-09-19T08:13:52.000-0700",chuck,1,"anon_Printer_4"
"2016-09-19T08:13:52.000-0700",chuck,1,"anon_Printer_4"
